cid,rhealth,raceth,fem,pfem,sprhealth,marstrain,simx,simy,marhappy
201,Fair,nh-white,0,0,5,-1.75,13.742377,2.9343977,1.75
202,Very Good,nh-white,0,0,5,-1,16.827385,5.6705923,1
202,Excellent,nh-white,0,0,4,-1.5,20.413984,4.113276,1.5
203,Excellent,nh-white,0,0,4,-1.5,23.504145,5.2326183,1.5
203,Very Good,nh-white,0,0,5,-1.75,21.564083,2.1148379,1.75
204,Good,nh-white,0,0,3,-1.75,16.825752,2.180896,1.75
204,Good,nh-white,0,0,3,-1.25,18.122768,3.558058,1.25
205,Very Good,nh-white,0,0,5,-2,20.97592,3.6911108,2
205,Excellent,nh-white,0,0,4,-2,22.253139,5.0115075,2
206,Very Good,hispanic,1,1,4,-1.5,20.993261,3.4093127,1.5
206,Very Good,hispanic,1,1,4,-1.5,17.895288,4.9383831,1.5
209,Good,nh-white,0,0,4,-1.25,18.547256,2.7591109,1.25
209,Very Good,hispanic,0,0,3,-1.75,19.109194,.78336531,1.75
210,Very Good,nh-white,0,0,5,-1.75,20.613556,4.9473352,1.75
210,Excellent,nh-white,0,0,4,-1.75,22.111078,3.2804368,1.75
211,Very Good,nh-white,0,0,4,-.75,18.114916,4.2242455,.75
211,Very Good,nh-white,0,0,4,-1,22.350407,4.5886421,1
212,Very Good,nh-white,0,0,4,-1.25,21.382238,4.1104217,1.25
212,Very Good,nh-white,0,0,4,-1.5,21.455282,3.5163727,1.5
214,Good,nh-white,0,0,5,-1,19.456944,1.1786397,1
214,Excellent,nh-white,0,0,3,-1.5,20.569254,3.5284638,1.5
215,Very Good,nh-white,0,0,4,-1.75,18.392733,4.8259816,1.75
215,Very Good,nh-white,0,0,4,-1,21.376518,2.4663165,1
216,Very Good,nh-white,0,0,5,-2,19.175537,2.600352,2
216,Excellent,nh-white,0,0,4,-1.75,19.208536,4.3244619,1.75
217,Very Good,nh-white,0,0,3,.5,20.770542,3.7623227,-.5
217,Good,nh-white,0,0,4,.75,19.065002,1.4455638,-.75
218,Very Good,nh-white,1,1,3,-1.75,22.093796,3.2791636,1.75
218,Good,nh-white,1,1,4,-1.5,16.723507,4.5083833,1.5
219,Good,nh-white,0,0,5,-.5,17.716309,1.0742584,.5
219,Excellent,hispanic,0,0,3,-.25,23.226049,6.0340552,.25
221,Good,nh-white,1,0,3,-1.25,17.401794,4.5683217,1.25
221,Good,nh-white,0,1,3,-.5,19.027718,3.7291715,.5
222,Very Good,nh-white,1,1,3,-1.75,20.391632,4.1095481,1.75
222,Good,nh-white,1,1,4,-.5,20.057159,2.9465699,.5
224,Good,nh-white,1,1,4,-1.5,17.568348,4.7005205,1.5
224,Very Good,nh-white,1,1,3,-1.75,20.678225,5.2249403,1.75
225,Good,nh-white,0,0,3,.75,19.66642,3.6230373,-.75
225,Good,nh-mixed,0,0,3,1.5,17.77807,2.3953886,-1.5
227,Good,nh-white,1,0,3,-1.25,19.78896,2.0203507,1.25
227,Good,nh-white,0,1,3,0,16.93305,.72176242,0
