cid,rhealth,raceth,fem,pfem,sprhealth,marstrain
242,Fair,nh-white,0,0,3,-2
242,Good,nh-white,0,0,2,-2
243,Very Good,nh-white,1,1,3,-2
243,Good,nh-white,1,1,4,0
245,Excellent,nh-white,0,0,5,-1.5
245,Excellent,nh-white,0,0,5,-1.5
246,Good,nh-white,0,0,3,-2
246,Good,nh-white,0,0,3,-1.75
247,Fair,hispanic,0,0,4,-2
247,Very Good,hispanic,0,0,2,-1.5
249,Very Good,nh-white,1,1,4,-1.75
249,Very Good,nh-white,1,1,4,-1.5
251,Good,nh-white,0,0,3,-.75
251,Good,nh-other,0,0,3,0
253,Fair,nh-white,1,1,3,-.75
253,Good,nh-white,1,1,2,-1.25
254,Very Good,nh-white,0,0,5,-1.75
254,Excellent,nh-white,0,0,4,-1.25
255,Good,nh-white,0,0,4,-2
255,Very Good,nh-white,0,0,3,-1.75
256,Very Good,nh-white,0,0,2,-1.5
256,Fair,nh-white,0,0,4,-1.75
257,Fair,nh-white,1,1,3,-1.25
257,Good,nh-white,1,1,2,-1.5
258,Good,nh-white,1,1,3,-1.75
258,Good,nh-white,1,1,3,-1.25
259,Good,nh-white,0,0,4,-1.75
259,Very Good,nh-white,0,0,3,-1.5
260,Good,nh-white,1,1,5,-1.5
260,Excellent,nh-white,1,1,3,-1.75
264,Good,nh-white,0,0,3,-1.75
264,Good,nh-white,0,0,3,.25
265,Excellent,nh-white,0,0,4,-1.25
265,Very Good,nh-white,0,0,5,-1.5
266,Very Good,nh-white,1,1,3,-1.5
266,Good,nh-white,1,1,4,-.75
267,Good,nh-white,0,0,4,-1.75
267,Very Good,nh-asian,0,0,3,-1.75
270,Very Good,nh-asian,1,0,3,-1
270,Good,nh-asian,0,1,4,0
272,Very Good,nh-white,1,0,5,-1.5
272,Excellent,nh-white,0,1,4,-1.75
280,Very Good,nh-white,1,1,4,-1.5
280,Very Good,nh-mixed,1,1,4,-1.5
303,Very Good,nh-white,1,0,4,-1.75
303,Very Good,nh-white,0,1,4,-1.5
305,Good,nh-white,1,0,3,-1
305,Good,nh-white,0,1,3,-.25
307,Excellent,nh-white,1,0,5,-1.75
307,Excellent,nh-white,0,1,5,-1.75
308,Excellent,nh-white,1,1,4,-2
308,Very Good,nh-white,1,1,5,-1.5
309,Very Good,nh-white,1,1,4,-1.75
309,Very Good,nh-white,1,1,4,-2
310,Very Good,nh-white,1,1,2,-1
